[2023-05-10 04:47:30,221] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,228] INFO [Broker id=0] Leader connect-offsets-5 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,238] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,246] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,254] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,261] INFO [Broker id=0] Leader connect-offsets-13 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,269] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,276] INFO [Broker id=0] Leader connect-offsets-4 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,284] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,291] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,298] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,307] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,314] INFO [Broker id=0] Leader connect-offsets-12 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,321] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,329] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,337] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,344] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,351] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,358] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,365] INFO [Broker id=0] Leader connect-offsets-22 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,373] INFO [Broker id=0] Leader connect-offsets-7 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,380] INFO [Broker id=0] Leader connect-offsets-0 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,388] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,395] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,402] INFO [Broker id=0] Leader connect-status-3 with topic id Some(tGVawypSRn-n583hdVGY1g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,410] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,417] INFO [Broker id=0] Leader connect-offsets-15 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,426] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,433] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,440] INFO [Broker id=0] Leader connect-offsets-21 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,447] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,454] INFO [Broker id=0] Leader connect-status-4 with topic id Some(tGVawypSRn-n583hdVGY1g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,461] INFO [Broker id=0] Leader connect-offsets-6 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,468] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,476] INFO [Broker id=0] Leader fruitserver.testDB.fruit-0 with topic id Some(yiSlD1F9QWuBcVs3zCNyxg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,483] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,484] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,494] INFO [Broker id=0] Leader connect-offsets-14 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,538] INFO [Broker id=0] Finished LeaderAndIsr request in 789ms correlationId 1 from controller 0 for 82 partitions (state.change.logger)
[2023-05-10 04:47:30,563] INFO [Broker id=0] Add 82 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 2 with correlation id 2 (state.change.logger)
